,Date,Map Name,Map Type,Match Id,Team A,Team B,Winner
0,2018-01-25,Eichenwalde,Hybrid,2419,GLA,VAL,Team A
1,2018-01-25,Horizon Lunar Colony,Assault,2419,GLA,VAL,Team A
2,2018-01-25,Ilios,KOTH,2419,GLA,VAL,Team B
3,2018-01-25,Junkertown,Escort,2419,GLA,VAL,Team B
4,2018-01-25,Lijiang Tower,KOTH,2419,GLA,VAL,Team B
0,2018-01-25,Numbani,Hybrid,2418,SHD,SEO,Team B
1,2018-01-25,Temple of Anubis,Assault,2418,SHD,SEO,Team B
2,2018-01-25,Oasis,KOTH,2418,SHD,SEO,Team B
3,2018-01-25,Dorado,Escort,2418,SHD,SEO,Team A
0,2018-01-25,Eichenwalde,Hybrid,2417,SFS,LDN,Team B
1,2018-01-25,Horizon Lunar Colony,Assault,2417,SFS,LDN,Team B
2,2018-01-25,Oasis,KOTH,2417,SFS,LDN,Team A
3,2018-01-25,Junkertown,Escort,2417,SFS,LDN,Team B
0,2018-01-20,Dorado,Escort,2416,BOS,SFS,Team B
1,2018-01-20,Horizon Lunar Colony,Assault,2416,BOS,SFS,Team A
2,2018-01-20,Oasis,KOTH,2416,BOS,SFS,Team B
3,2018-01-20,Eichenwalde,Hybrid,2416,BOS,SFS,Team A
4,2018-01-20,Lijiang Tower,KOTH,2416,BOS,SFS,Team B
0,2018-01-20,Dorado,Escort,2415,GLA,NYE,Team B
1,2018-01-20,Horizon Lunar Colony,Assault,2415,GLA,NYE,Team B
2,2018-01-20,Oasis,KOTH,2415,GLA,NYE,Team B
3,2018-01-20,Eichenwalde,Hybrid,2415,GLA,NYE,Team B
0,2018-01-20,Dorado,Escort,2414,VAL,LDN,Team B
1,2018-01-20,Horizon Lunar Colony,Assault,2414,VAL,LDN,Team B
2,2018-01-20,Oasis,KOTH,2414,VAL,LDN,Team A
3,2018-01-20,Eichenwalde,Hybrid,2414,VAL,LDN,Team A
4,2018-01-20,Lijiang Tower,KOTH,2414,VAL,LDN,Team B
0,2018-01-20,Junkertown,Escort,2413,LDN,DAL,Team A
1,2018-01-20,Horizon Lunar Colony,Assault,2413,LDN,DAL,Team A
2,2018-01-20,Oasis,KOTH,2413,LDN,DAL,Team B
3,2018-01-20,Numbani,Hybrid,2413,LDN,DAL,Team A
0,2018-01-20,Dorado,Escort,2412,SHD,FLA,Team B
1,2018-01-20,Temple of Anubis,Assault,2412,SHD,FLA,Team B
2,2018-01-20,Ilios,KOTH,2412,SHD,FLA,Team B
3,2018-01-20,Numbani,Hybrid,2412,SHD,FLA,Team B
0,2018-01-20,Junkertown,Escort,2411,SEO,BOS,Team A
1,2018-01-20,Horizon Lunar Colony,Assault,2411,SEO,BOS,Team A
2,2018-01-20,Oasis,KOTH,2411,SEO,BOS,Team A
3,2018-01-20,Numbani,Hybrid,2411,SEO,BOS,Team A
0,2018-01-19,Junkertown,Escort,2410,PHI,GLA,Team A
1,2018-01-19,Temple of Anubis,Assault,2410,PHI,GLA,Team A
2,2018-01-19,Ilios,KOTH,2410,PHI,GLA,Team B
3,2018-01-19,Numbani,Hybrid,2410,PHI,GLA,Team B
4,2018-01-19,Lijiang Tower,KOTH,2410,PHI,GLA,Team B
0,2018-01-19,Junkertown,Escort,2409,NYE,VAL,Team A
